照護團隊名稱／諮詢電話,醫事機構名稱,醫事機構電話,醫事機構地址,居家醫療醫療,重度居家醫療,安寧居家療護,居家呼吸照護,居家中醫醫療,居家藥事照護,在宅急症照護,近三個月有收案
03-8263151#815650,,,,,,,,,,,
萬芳團隊,臺北市立萬芳醫院－委託臺北醫學大學辦理,02-29307930,臺北市文山區興隆路３段１１１號（地圖),1,,1,,,,1,1
(02)2936-7193,,,,,,,,,,,
高醫社區照護中心,財團法人私立高雄醫學大學附設中和紀念醫院,07-3121101,高雄市三民區十全一路１００號（地圖),1,,,,1,,1,1
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
慈心,中山醫學大學附設醫院,04-24739595,臺中市南區建國北路一段１１０號（地圖),1,,1,,1,1,1,1
04-22910337,,,,,,,,,,,
,,,,,,,,,,,
中山,,,,,,,,,,,
04-36032871,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
家康,,,,,,,,,,,
(04)22250505,,,,,,,,,,,
963620885,,,,,,,,,,,
,,,,,,,,,,,
中國醫藥大學附設醫院,,,,,,,,,,,
0422052121#12656,,,,,,,,,,,
,,,,,,,,,,,
長安醫院居家醫療照護團隊,,,,,,,,,,,
0436113611-3692,,,,,,,,,,,
中國醫藥大學附設醫院,中國醫藥大學附設醫院,04-22052121,臺中市北區育德路２號（地圖),1,,1,,1,,1,1
0422052121#12656,,,,,,,,,,,
,,,,,,,,,,,
中山,,,,,,,,,,,
04-36032871,,,,,,,,,,,
,,,,,,,,,,,
長安醫院居家醫療照護團隊,,,,,,,,,,,
0436113611-3692,,,,,,,,,,,
,,,,,,,,,,,
國際慈善事業聯盟,,,,,,,,,,,
963354973,,,,,,,,,,,
,,,,,,,,,,,
南投縣信義鄉衛生所,,,,,,,,,,,
492791148#200,,,,,,,,,,,
衛生福利部雙和居家照護團隊,衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉,02-22490088,新北市中和區中正路２９１號醫療大樓地下２層至地上１２層（地圖),1,,1,,,,1,
2249-0088 #8608,,,,,,,,,,,
2249-0088 #8603,,,,,,,,,,,
臺北藍鵲居家醫療照護團隊,臺北市立聯合醫院,02-25553000,臺北市大同區鄭州路１４５號（代表）（地圖),1,,1,,1,1,1,1
2552-3234 #3683,,,,,,,,,,,
2709-3600 #1118,,,,,,,,,,,
2388-9595 #8416,,,,,,,,,,,
高聯醫,高雄市立聯合醫院,07-5552565,高雄市鼓山區中華一路９７６號（地圖),1,,,,1,1,1,1
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
高雄市立大同醫院,高雄市立大同醫院,07-2911101,高雄市前金區中華三路６８號（地圖),1,,,,,,,
975368571,,,,,,,,,,,
部基居家醫療照護小組,衛生福利部基隆醫院,02-24292525,基隆市信義區信二路２６８號（地圖),1,,,,,,1,
2429-2525 #8723,,,,,,,,,,,
晏居,衛生福利部臺中醫院,04-22294411,臺中市西區三民路一段１９９號（地圖),1,,,,,,1,1
0422294411#6222,,,,,,,,,,,
部立臺南醫院居家醫療照護整合團隊,衛生福利部臺南醫院,06-2200055,臺南市中西區中山路１２５號（地圖),1,,1,,1,,1,1
06-2200055-3008,,,,,,,,,,,
新北聯醫,新北市立聯合醫院,02-29829111,新北市三重區新北大道１段３號、３之１號、板橋區英士路１９８號（地圖),1,,,,,,,
2257-5151 #3368,,,,,,,,,,,
2257-5151 #3368,,,,,,,,,,,
安康喜樂居家醫療照護團隊,衛生福利部臺北醫院,02-22765566,新北市新莊區思源路１２７號、新北巿新莊區長青街６號２樓、３樓（地圖),1,,,,1,,1,
02-29633312,,,,,,,,,,,
02-29633312,,,,,,,,,,,
(02)2922-8000,,,,,,,,,,,
,,,,,,,,,,,
衛生福利部臺北醫院居家整合醫療照護團隊,,,,,,,,,,,
02-22761136#5201~5205,,,,,,,,,,,
909932122,,,,,,,,,,,
桃醫居家醫療團隊,衛生福利部桃園醫院,03-3699721,桃園市桃園區中山路１４９２號（地圖),1,,1,,,1,1,1
(03)3699721轉分機1088,,,,,,,,,,,
(03)3699721轉分機4111,,,,,,,,,,,
(03)4971989轉分機5603,,,,,,,,,,,
衛生福利部苗栗醫院居家醫療團隊,衛生福利部苗栗醫院,037-261920,苗栗縣苗栗市為公路７４７號（地圖),1,,,,1,,,
037-261920#2203,,,,,,,,,,,
豐原醫院居家醫療,衛生福利部豐原醫院,04-25271180,臺中市豐原區安康路１００號（地圖),1,,,,1,,1,1
04-25271180,,,,,,,,,,,
,,,,,,,,,,,
豐之采,,,,,,,,,,,
04-25254607,,,,,,,,,,,
衛生福利部彰化醫院,衛生福利部彰化醫院,04-8298686,彰化縣埔心鄉中正路二段８０號（地圖),1,,1,,1,,1,1
04-8281899-7933,,,,,,,,,,,
衛生福利部南投醫院,衛生福利部南投醫院,049-2231150,南投縣南投市康壽里復興路４７８號（地圖),1,,1,,,,1,1
985585891,,,,,,,,,,,
0492231150#5198,,,,,,,,,,,
0492246315#1317,,,,,,,,,,,
,,,,,,,,,,,
長安醫院居家醫療照護團隊,,,,,,,,,,,
0436113611-3692,,,,,,,,,,,
衛生福利部屏東醫院,衛生福利部屏東醫院,08-7363011,屏東縣屏東市自由路２７０號（地圖),1,,,,1,,1,1
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
馨愛,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院,03-6677600,新竹縣竹北市生醫路一段２號（地圖),1,,1,,,,1,1
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
,,,,,,,,,,,
馨友,,,,,,,,,,,
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
陽大居家醫療照護團隊,國立陽明交通大學附設醫院,03-9325192,宜蘭縣宜蘭市校舍路１６９號、新民路１５２號（地圖),1,,1,,1,,1,
039325192#73270,,,,,,,,,,,
國立臺灣大學醫學院附設醫院雲林分院團隊,國立臺灣大學醫學院附設醫院雲林分院,05-5323911,雲林縣斗六市雲林路二段５７９號（地圖),1,,1,,,,1,1
972655484,,,,,,,,,,,
972655561,,,,,,,,,,,
三軍總醫院居家醫療團隊,三軍總醫院松山分院附設民眾診療服務處,02-27642151,臺北市松山區健康路１３１號（地圖),1,,,,,,,
(02)87923311#88171,,,,,,,,,,,
國軍左營醫院,國軍左營總醫院附設民眾診療服務處,07-5817121,高雄市左營區合群里軍校路５５３號（地圖),1,,,,,,1,1
07-5817121#3426,,,,,,,,,,,
07-5886757,,,,,,,,,,,
國高總,國軍高雄總醫院附設民眾診療服務處,07-7496751,高雄市苓雅區建軍路５號（地圖),1,,,,,,1,1
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
桃總居家醫療照護,國軍桃園總醫院附設民眾診療服務處,03-4799595,桃園市龍潭區中興里中興路１６８號（地圖),1,,,,1,,1,1
03-4799595#325930,,,,,,,,,,,
03-4799595#325945,,,,,,,,,,,
國軍台中總醫院附設民眾診療服務處,國軍臺中總醫院附設民眾診療服務處,04-23934191,臺中市太平區中山路２段３４８號（地圖),1,,,,,,1,
961525951,,,,,,,,,,,
,,,,,,,,,,,
國軍台中總醫院附設民眾診療服務處,,,,,,,,,,,
961525951,,,,,,,,,,,
國軍花蓮總醫院居家醫療照護整合團隊,國軍花蓮總醫院附設民眾診療服務處,03-8263151,花蓮縣新城鄉嘉里路１６３號（地圖),1,,,,,,,1
03-8263151#815650,,,,,,,,,,,
中榮嘉義分院,臺中榮民總醫院嘉義分院,05-2359630,嘉義市西區劉厝里世賢路２段６００號（地圖),1,,1,,,,1,1
05-2359630-3560,,,,,,,,,,,
05-2359630-2068,,,,,,,,,,,
台北榮民總醫院桃園分院居家醫療照護團隊,臺北榮民總醫院桃園分院,03-3384889,桃園市桃園區成功路三段１００號（地圖),1,,1,,,,1,1
03-3384889#3131,,,,,,,,,,,
976731675,,,,,,,,,,,
阮綜合社區居家醫療群,阮綜合醫療社團法人阮綜合醫院,07-3351121,高雄市苓雅區成功一路１６２號，１５６號（地圖),1,,,,,,1,1
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
台南市立醫院,台南市立醫院(委託秀傳醫療社團法人經營),06-2609926,臺南市東區崇德路６７０號（地圖),1,,1,,1,1,1,1
2609926-22301,,,,,,,,,,,
,,,,,,,,,,,
奇美醫院居家醫療照護整合計畫團隊,,,,,,,,,,,
06-7263333#36060,,,,,,,,,,,
健康,林新醫療社團法人林新醫院,04-22586688,臺中市南屯區惠中路３段３６號（地圖),1,,,,,,1,1
(04)2235-1685,,,,,,,,,,,
,,,,,,,,,,,
西區,,,,,,,,,,,
(04)2229-7559,,,,,,,,,,,
(04)2229-7559,,,,,,,,,,,
,,,,,,,,,,,
自家安老居家整合照護團隊,,,,,,,,,,,
04-24360305,,,,,,,,,,,
,,,,,,,,,,,
580,,,,,,,,,,,
939632085,,,,,,,,,,,
,,,,,,,,,,,
仕安居家醫療團隊,,,,,,,,,,,
天晟醫院,天成醫療社團法人天晟醫院,03-4629292,桃園市中壢區延平路155號（地圖),1,,,,,1,1,
034629292#23800,,,,,,,,,,,
975080362,,,,,,,,,,,
975668185,,,,,,,,,,,
馨愛,東元醫療社團法人東元綜合醫院,03-5527000,新竹縣竹北市縣政二路６９號（地圖),1,1,1,,,,,
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
,,,,,,,,,,,
東元綜合醫院附設居家護理所,,,,,,,,,,,
03-5527000#1175,,,,,,,,,,,
,,,,,,,,,,,
馨友,,,,,,,,,,,
932143725,,,,,,,,,,,
03-5943248#1132,,,,,,,,,,,
03-5943248#1158,,,,,,,,,,,
大甲李綜合,李綜合醫療社團法人大甲李綜合醫院,04-26862288,臺中市大甲區八德街２號（地圖),1,,1,,,,1,1
0978-728695,,,,,,,,,,,
光田醫院,光田醫療社團法人光田綜合醫院,04-26625111,臺中市沙鹿區沙田路１１７號、向上路七段１２７號及１２５號（地圖),1,,1,,1,1,1,1
0426365000-2105,,,,,,,,,,,
0426625111-2046,,,,,,,,,,,
,,,,,,,,,,,
澄清綜合醫院中港分院,,,,,,,,,,,
24632000#32646,,,,,,,,,,,
24632000#32648,,,,,,,,,,,
坪安,童綜合醫療社團法人童綜合醫院,04-26581919,臺中市梧棲區臺灣大道八段６９９號（地圖),1,,1,,1,,1,1
963183781,,,,,,,,,,,
,,,,,,,,,,,
童一家,,,,,,,,,,,
963183781,,,,,,,,,,,
,,,,,,,,,,,
長安醫院居家醫療照護團隊,,,,,,,,,,,
0436113611-3692,,,,,,,,,,,
彰濱秀傳,秀傳醫療社團法人秀傳紀念醫院,04-7256166,彰化縣彰化市南瑤里中山路１段５４２號（地圖),1,1,,,1,,1,1
04-7240829,,,,,,,,,,,
936251948,,,,,,,,,,,
966519655,,,,,,,,,,,
寶建社區醫療團隊,寶建醫療社團法人寶建醫院,08-7665995,屏東縣屏東市中山路１１９.１２３號.（地圖),1,,,,,,1,1
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
臺安居家醫療照護整合團隊,基督復臨安息日會醫療財團法人臺安醫院,02-27718151,臺北市松山區八德路２段４２４、４２６號（地圖),1,,1,,,,,
(02)2771-8151#2777,,,,,,,,,,,
小港居家照護中心,高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,07-8036783,高雄市小港區山明里山明路４８２號Ｂ１－１０樓（地圖),1,,,,,,1,1
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,義大醫療財團法人義大癌治療醫院,07-6150022,高雄市燕巢區角宿里義大路２１號Ｂ２－１０樓（地圖),1,,,,1,,,1
975106472,,,,,,,,,,,
,,,,,,,,,,,
國軍左營醫院,,,,,,,,,,,
07-5817121#3426,,,,,,,,,,,
07-5886757,,,,,,,,,,,
基隆長庚紀念醫院居家照護團隊,長庚醫療財團法人基隆長庚紀念醫院,02-24313131,基隆市安樂區麥金路２２２號、基隆市麥金路２０１號（地圖),1,,1,,1,,,1
2431-3131 #2171,,,,,,,,,,,
2431-3131,,,,,,,,,,,
靈芝(聆知)qpacing,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,03-6119595,新竹市東區光復路二段６９０號（地圖),1,,,,,,1,1
35851005,,,,,,,,,,,
03-6119595#6108,,,,,,,,,,,
台南新樓醫院居家醫療照護團隊,台灣基督長老教會新樓醫療財團法人台南新樓醫院,06-2748316,臺南市東區泉北里東門路１段５７號（地圖),1,,1,,,,1,1
06-2748316#6507,,,,,,,,,,,
06-2748316#1081-1083,,,,,,,,,,,
嘉基居家醫療照護整合計畫團隊,戴德森醫療財團法人嘉義基督教醫院,05-2765041,嘉義市東區中庄里忠孝路５３９號、６４２號、保健街１００號（地圖),1,,1,,1,,1,1
05-2765041-7008,,,,,,,,,,,
,,,,,,,,,,,
快樂活居家醫療照護團隊,,,,,,,,,,,
05-2305779,,,,,,,,,,,
天主教聖馬爾定醫院居家醫療整合照護團隊,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,05-2756000,嘉義市東區大雅路二段５６５號（地圖),1,,1,,,,1,1
05-2756005-1831,,,,,,,,,,,
05-2756005-1832,,,,,,,,,,,
,,,,,,,,,,,
快樂活居家醫療照護團隊,,,,,,,,,,,
05-2305779,,,,,,,,,,,
安康喜樂居家醫療照護團隊,行天宮醫療志業醫療財團法人恩主公醫院,02-26723456,新北市三峽區復興路３９９號、中山路１９８、２５８號（地圖),1,,,,,,1,
02-29633312,,,,,,,,,,,
02-29633312,,,,,,,,,,,
(02)2922-8000,,,,,,,,,,,
,,,,,,,,,,,
恩主公居家醫療照護團隊,,,,,,,,,,,
921156391,,,,,,,,,,,
汐止國泰合醫院居家醫療照護團隊,國泰醫療財團法人汐止國泰綜合醫院,02-26482121,新北市汐止區建成路５９巷２號地下４樓至地上１２樓（地圖),1,,,,,,,
新北市立土城醫院居家照護團隊,新北市立土城醫院（委託長庚醫療財團法人興建經營）,02-22630588,新北市土城區金城路２段６號（地圖),1,,,,1,,,1
聖保祿醫院,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,03-3613141,桃園市桃園區建新街１２３號及１５１、１５３號（地圖),1,,1,,,,1,
03-3773329,,,,,,,,,,,
羅東博愛醫院居家醫療整合照護,醫療財團法人羅許基金會羅東博愛醫院,03-9543131,宜蘭縣羅東鎮南昌街８１、８３號及站前南路６１、６３號（地圖),1,,1,,,1,1,1
963822915,,,,,,,,,,,
,,,,,,,,,,,
蘭陽家聯居家醫療照護團隊,,,,,,,,,,,
975311420,,,,,,,,,,,
03-9652881,,,,,,,,,,,
羅東聖母醫院居家醫療照護整合,天主教靈醫會醫療財團法人羅東聖母醫院,03-9544106,宜蘭縣羅東鎮中正南路１６０號、宜蘭縣南澳鄉大通路１１２之１號（地圖),1,,1,,,1,1,1
039544106#3534,,,,,,,,,,,
039544106#3535,,,,,,,,,,,
,,,,,,,,,,,
蘭陽家聯居家醫療照護團隊,,,,,,,,,,,
975311420,,,,,,,,,,,
03-9652881,,,,,,,,,,,
為恭居家醫療照護整合團隊,為恭醫療財團法人為恭紀念醫院,037-676811,苗栗縣頭份市信義路１２８號（地圖),1,1,1,,1,1,1,1
037676811#83221,,,,,,,,,,,
036768111#88890,,,,,,,,,,,
,,,,,,,,,,,
心風采,,,,,,,,,,,
037676811#83221,,,,,,,,,,,
04-25345885,,,,,,,,,,,
自家安老居家整合照護團隊,佛教慈濟醫療財團法人台中慈濟醫院,04-36060666,臺中市潭子區豐興路１段６６、８８號（地圖),1,,1,,1,,1,1
04-24360305,,,,,,,,,,,
,,,,,,,,,,,
台中慈濟,,,,,,,,,,,
0436060666-318,,,,,,,,,,,
0436060666-3552,,,,,,,,,,,
937687422,,,,,,,,,,,
,,,,,,,,,,,
健康,,,,,,,,,,,
(04)2235-1685,,,,,,,,,,,
,,,,,,,,,,,
豐之采,,,,,,,,,,,
04-25254607,,,,,,,,,,,
,,,,,,,,,,,
中國醫藥大學附設醫院,,,,,,,,,,,
0422052121#12656,,,,,,,,,,,
,,,,,,,,,,,
中山,,,,,,,,,,,
04-36032871,,,,,,,,,,,
真善美,仁愛醫療財團法人大里仁愛醫院,04-24819900,臺中市大里區東榮路４８３號（地圖),1,,1,,,,1,1
04-24915128,,,,,,,,,,,
,,,,,,,,,,,
大里仁愛,,,,,,,,,,,
0921-991885,,,,,,,,,,,
,,,,,,,,,,,
西區,,,,,,,,,,,
(04)2229-7559,,,,,,,,,,,
(04)2229-7559,,,,,,,,,,,
,,,,,,,,,,,
健康,,,,,,,,,,,
(04)2235-1685,,,,,,,,,,,
,,,,,,,,,,,
美安,,,,,,,,,,,
921756745,,,,,,,,,,,
,,,,,,,,,,,
自家安老居家整合照護團隊,,,,,,,,,,,
04-24360305,,,,,,,,,,,
,,,,,,,,,,,
臺中榮民總醫院,,,,,,,,,,,
23592525#3817,,,,,,,,,,,
,,,,,,,,,,,
僕子居家醫療團隊,,,,,,,,,,,
04-26317654、04-25662590,,,,,,,,,,,
,,,,,,,,,,,
家康,,,,,,,,,,,
(04)22250505,,,,,,,,,,,
963620885,,,,,,,,,,,
彰濱秀傳,秀傳醫療財團法人彰濱秀傳紀念醫院,04-7813888,彰化縣鹿港鎮鹿工路６號、６－２號（地圖),1,,,,1,,1,1
04-7240829,,,,,,,,,,,
936251948,,,,,,,,,,,
966519655,,,,,,,,,,,
埔基醫療財團法人埔里基督教醫院,埔基醫療財團法人埔里基督教醫院,049-2912151,南投縣埔里鎮愛蘭里鐵山路１號（地圖),1,,1,,,,1,1
0492912151-1680,,,,,,,,,,,
嘉義長庚紀念醫院居家醫療團隊,長庚醫療財團法人嘉義長庚紀念醫院,05-3621000,嘉義縣朴子市仁和里長庚一路６號及嘉朴路西段８號（地圖),1,,,,1,,1,1
05-3621000-2718,,,,,,,,,,,
大林慈濟居家醫療照護整合計畫團隊,佛教慈濟醫療財團法人大林慈濟醫院,05-2648000,嘉義縣大林鎮平林里民生路２號（地圖),1,,1,,1,,1,1
05-2648000-5175,,,,,,,,,,,
奇美醫療財團法人柳營奇美居家醫療照護團隊,奇美醫療財團法人柳營奇美醫院,06-6226999,臺南市柳營區太康里２０１號（地圖),1,,1,,1,1,1,1
066226999-77093,,,,,,,,,,,
屏東基督教醫院,屏基醫療財團法人屏東基督教醫院,08-7368686,屏東縣屏東市大連路６０號，屏東縣屏東市建豐路２巷１１３號（地圖),1,,,,1,,1,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
,,,,,,,,,,,
屏東家醫,,,,,,,,,,,
08-7364494,,,,,,,,,,,
972896890,,,,,,,,,,,
08-7364494,,,,,,,,,,,
門諾居家醫療團隊,臺灣基督教門諾會醫療財團法人門諾醫院,03-8241234,花蓮縣花蓮市民權路４４號（地圖),1,,1,,1,,1,1
03-8241223、03-8241350,,,,,,,,,,,
,,,,,,,,,,,
花蓮居家醫療照護團隊,,,,,,,,,,,
0932-143725,,,,,,,,,,,
天主教居家醫療照護團隊,天主教耕莘醫療財團法人耕莘醫院,02-22193391,新北市新店區中正路３６２號、車子路１５號（地圖),1,,1,,,,1,
22193391-66132,,,,,,,,,,,
北醫居家照護團隊,臺北醫學大學附設醫院,02-27372181,臺北市信義區吳興街２５２號、２５０號（地圖),1,,1,,,,1,
2737-2181轉3938,,,,,,,,,,,
中國醫藥大學附設醫院,亞洲大學附屬醫院,04-37061668,臺中市霧峰區福新路２２２號（地圖),1,,,,,,1,1
0422052121#12656,,,,,,,,,,,
,,,,,,,,,,,
長安醫院居家醫療照護團隊,,,,,,,,,,,
0436113611-3692,,,,,,,,,,,
,,,,,,,,,,,
福新居家醫療團隊,,,,,,,,,,,
04-37061668#1888,,,,,,,,,,,
,,,,,,,,,,,
健康,,,,,,,,,,,
(04)2235-1685,,,,,,,,,,,
市立安南居家醫療整合團隊,臺南市立安南醫院-委託中國醫藥大學興建經營,06-3553111,臺南市安南區長和路二段６６號（地圖),1,,1,,1,,1,1
06-2465658,,,,,,,,,,,
06-7961193,,,,,,,,,,,
06-3553111#1113,,,,,,,,,,,
,,,,,,,,,,,
荷新整合性照護團隊,,,,,,,,,,,
06-2016145,,,,,,,,,,,
,,,,,,,,,,,
奇美醫院居家醫療照護整合計畫團隊,,,,,,,,,,,
06-7263333#36060,,,,,,,,,,,
輔大醫院居家醫療照護團隊,輔仁大學學校財團法人輔仁大學附設醫院,02-85128888,新北市泰山區貴子路６９號（地下４層、地上１至１３層、１５層）（地圖),1,,1,,,,1,1
02-85128909,,,,,,,,,,,
中國北港居家醫療整合團隊,中國醫藥大學北港附設醫院,05-7837901,雲林縣北港鎮新街里新德路１２３號（地圖),1,,1,,1,,1,
05-7823831,,,,,,,,,,,
安泰醫院,輔英科技大學附設醫院,08-8323146,屏東縣東港鎮興台里中山路５號（地圖),1,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
鳳山居家醫療照護團隊,財團法人台灣省私立高雄仁愛之家附設慈惠醫院,07-7030315,高雄市大寮區後庄里鳳屏一路５０９號（地圖),1,,,,,,,
07-7418151#3316,,,,,,,,,,,
07-7418151#3355,,,,,,,,,,,
澄清綜合醫院,澄清綜合醫院,04-24632000,臺中市中區平等街１３９號（地圖),1,,,,,,1,
24632000#66326,,,,,,,,,,,
,,,,,,,,,,,
自家安老居家整合照護團隊,,,,,,,,,,,
04-24360305,,,,,,,,,,,
,,,,,,,,,,,
健康,,,,,,,,,,,
(04)2235-1685,,,,,,,,,,,
,,,,,,,,,,,
西區,,,,,,,,,,,
(04)2229-7559,,,,,,,,,,,
(04)2229-7559,,,,,,,,,,,
,,,,,,,,,,,
