醫事機構名稱,醫事機構地址,醫事機構電話,改善方案項目,試辦計畫生效起日,試辦計畫生效迄日
新星渝居家護理所,高雄市岡山區岡山路６９號,(07)6297990,呼吸照護-居家照護,20180327,29101231
懷新居家護理所,高雄市湖內區長春一街９１號１樓,(07)6930065,呼吸照護-居家照護,20170215,29101231
頤欣居家護理所,高雄市左營區立信路２３１號１５Ｆ之３,(07)5506869,呼吸照護-居家照護,20130322,29101231
康福居家護理所,高雄市左營區博愛二路３６６號１８樓之１,(07-)5507946,呼吸照護-居家照護,20200325,29101231
祐生醫院附設居家護理所,高雄市三民區建國三路６０號１樓,(07)2866688,呼吸照護-居家照護,20180904,29101231
佳禾居家護理所,高雄市新興區中正三路１６０號３樓之２,(07)2361508,呼吸照護-居家照護,20150512,29101231
貝康居家護理所,高雄市苓雅區自強三路３號２８樓之８A,(07)5668878,呼吸照護-居家照護,20160729,29101231
日寧居家護理所,高雄市前鎮區瑞田街１０巷２２號１樓,(07)8313638,呼吸照護-居家照護,20230503,29101231
百安居家護理所,基隆市七堵區百六街１２３號,(02)24515085,呼吸照護-居家照護,20201021,29101231
新迦居家護理所,新竹市東區東園里忠孝路４４０號３樓之２,(03)5626966,呼吸照護-居家照護,20141211,29101231
人愛居家護理所,新竹市北區台溪里中華路三段９號１１樓之４,(03)5428040,呼吸照護-居家照護,20081202,29101231
和松居家護理所,新竹市北區磐石里和平路８６巷１１號１樓,(03)5247350,呼吸照護-居家照護,20160706,29101231
喜樂康居家護理所,嘉義市東區忠孝路５７７號,(05)2752338,呼吸照護-居家照護,20150722,29101231
慈恩居家護理所,嘉義市東區世賢路四段４６０號,(05)2160869,呼吸照護-居家照護,20220127,29101231
新願居家護理所,嘉義市東區博東路９號,(05)2280869,呼吸照護-居家照護,20220128,29101231
仁德居家護理所,嘉義市林森西路２８５號,(05)2258279,呼吸照護-居家照護,20180807,29101231
嘉康居家護理所,嘉義市西區友愛路２３７號４樓之１,(05)2811885,呼吸照護-居家照護,20200907,29101231
欣松居家護理所,嘉義市西區大同路４１７號,(05)2911152,呼吸照護-居家照護,20240401,29101231
蕭中正醫院附設居家護理所,新北市板橋區南雅南路一段１巷７號１樓,(02)29688939,呼吸照護-居家照護,20190514,29101231
萬眾居家護理所,新北市三重區福德南路４１號７樓,(02)28577722,呼吸照護-居家照護,20200501,29101231
永欣居家護理所,新北市永和區林森路４１巷１１號３樓,(02)29211785,呼吸照護-居家照護,20141127,29101231
忠祥居家護理所,新北市中和區連城路３４７巷３５弄１號１樓,(02)22475603,呼吸照護-居家照護,20131111,29101231
立穎居家護理所,新北市中和區立德街２０４號３樓,(02)86686651,呼吸照護-居家照護,20160701,29101231
德怡居家護理所,新北市中和區景平路７１－７號５樓之２,(02)29439679,呼吸照護-居家照護,20230925,29101231
美達居家護理所,新北市新店區寶橋路４８號９樓之３,(02)29122710,呼吸照護-居家照護,20160903,29101231
同仁醫院附設順安居家護理所,新北市新店區民權路８９號２樓,(02)29170201,呼吸照護-居家照護,20190506,29101231
同仁醫院附設居家護理所,新北市新店區民權路８９號２樓,(02)29170201,呼吸照護-居家照護,20220107,29101231
豐榮醫院附設居家護理所,新北市新店區安德街２６巷３號１０樓,(02)22122111,呼吸照護-居家照護,20250407,29101231
和鄰居家護理所,新北市鶯歌區文化路２３５號１樓,(02)77091222,呼吸照護-居家照護,20171220,29101231
永樂居家護理所,新北市三峽區大同路９８之７號１１樓之２,(02)26735760,呼吸照護-居家照護,20180530,29101231
安福居家護理所,新北市淡水區中正東路２段２９之１號１６樓,(02)28085718,呼吸照護-居家照護,20091120,29101231
全人居家護理所,新北市汐止區長興街２段６０號２樓之１,(02)86480712,呼吸照護-居家照護,20171130,29101231
全連居家護理所,新北市蘆洲區中山一路１２０巷２２號１樓,(02)22820677,呼吸照護-居家照護,20151224,29101231
美善居家護理所,新北市林口區文化三路１段３８１號１０樓,(02)26092380,呼吸照護-居家照護,20160627,29101231
康富居家護理所,新北市林口區四維路１３２號６樓,(02)86018591,呼吸照護-居家照護,20181205,29101231
中順居家護理所,桃園市桃園區中正路１３１６號１２樓,(03)3179113,呼吸照護-居家照護,20160303,29101231
新康健居家護理所,桃園市桃園區大興西路２段２００之１４號２樓,(03)3020917,呼吸照護-居家照護,20211124,29101231
聯安居家護理所,桃園市中壢區南園二路２６０號６樓,(03)4528333,呼吸照護-居家照護,20230206,29101231
家馨居家護理所,桃園市龜山區復興一路２３０號５樓之３,(03)2114920,呼吸照護-居家照護,20091013,29101231
美安居家護理所,新竹縣竹北市莊敬五街１６９號８樓,(03)5517731,呼吸照護-居家照護,20130105,29101231
菩心居家護理所,新竹縣竹北市華興三街２６８號４樓,(03)5556965,呼吸照護-居家照護,20190702,29101231
迦南居家護理所,宜蘭縣宜蘭市中山路２段１４５號９樓之１,(03)9357416,呼吸照護-居家照護,20210701,29101231
家宜居家護理所,宜蘭縣宜蘭市東津路１５７號,(03)9251891,呼吸照護-居家照護,20241022,29101231
古德居家護理所,宜蘭縣宜蘭市女中路２段４６１號１樓,(03)9356188,呼吸照護-居家照護,20220805,29101231
永晴居家護理所,宜蘭縣羅東鎮復興路３段３８８巷４７弄１１號,(03)9559910,呼吸照護-居家照護,20120917,29101231
禾宜居家護理所,苗栗縣苗栗市玉華里４鄰復興路三段１１０號,(037)260895,呼吸照護-居家照護,20220706,29101231
彰宜居家護理所,彰化縣彰化市崙平南路４３５號８樓,(04)7615755,呼吸照護-居家照護,20110209,29101231
芳鄰居家護理所,彰化縣彰化市向陽街２１３巷２弄１５號,(04)7521226,呼吸照護-居家照護,20190503,29101231
福康居家護理所,彰化縣彰化市介壽南路９７號,(09)22893720,呼吸照護-居家照護,20200115,29101231
博醫居家護理所,彰化縣和美鎮彰草路二段８８－１號２樓,(04)7516563,呼吸照護-居家照護,20231122,29101231
家歆居家護理所,彰化市雲長路１３５號２－３樓,(04)7882591,呼吸照護-居家照護,20171201,29101231
以恩居家護理所,彰化縣花壇鄉中正路３５５號２樓,(09)82489354,呼吸照護-居家照護,20200617,29101231
宥恩居家護理所,彰化縣花壇鄉光明路７９巷２５號１樓,(09)77268865,呼吸照護-居家照護,20240201,29101231
德欣居家護理所,南投縣草屯鎮太平路一段３２３號１樓,(049)2390335,呼吸照護-居家照護,20180529,29101231
佶松居家護理所,雲林縣北港鎮文化路３７之３０號１樓,(098)2319885,呼吸照護-居家照護,20250114,29101231
佳維居家護理所,嘉義縣朴子市小槺榔五路２７８號,(05)3620090,呼吸照護-居家照護,20170503,29101231
嘉義縣私立長松護理之家,嘉義縣大林鎮中正路４２４－４２６號,(05)2652847,呼吸照護-居家照護,20180815,29101231
嘉樂居家護理所,臺南市新營區仁愛街３０－２號３樓,(06)6331900,呼吸照護-居家照護,20110112,29101231
佳仁居家護理所,屏東縣屏東市崇蘭里５３鄰崇朝一路１５０號１樓,(08)7329957,呼吸照護-居家照護,20171012,29101231
星安居家護理所,屏東縣屏東市華盛街３９號１樓,(08)7551080,呼吸照護-居家照護,20181001,29101231
私立康和居家護理所,屏東縣屏東市公裕街２２３巷１２－１號２樓,(090)8607655,呼吸照護-居家照護,20240916,29101231
大新醫院附設居家護理所,屏東縣高樹鄉長榮村興中路２０８號,(08)7962033,呼吸照護-居家照護,20221020,29101231
美靜居家護理所,屏東縣枋寮鄉保生路２８６－３號,(08)8782103,呼吸照護-居家照護,20180809,29101231
遇見居家護理所,屏東縣滿州鄉滿州村中山路１４８號,(08)8801945,呼吸照護-居家照護,20190329,29101231
康榮居家護理所,花蓮縣花蓮市富強路６１號１樓,(03)8578701,呼吸照護-居家照護,20100407,29101231
慈愛居家護理所,花蓮縣花蓮市中美路１４８號５樓之１Ｃ戶,(03)8246251,呼吸照護-居家照護,20171019,29101231
真愛居家護理所,花蓮縣花蓮市富強路６３號,(03)8561352,呼吸照護-居家照護,20200716,29101231
晴安居家護理所,臺東縣臺東市中華路三段１０３號,(089)358500,呼吸照護-居家照護,20161108,29101231
安康護理之家附設居家護理所,臺東縣臺東市中華路三段１９５號,(089)345865,呼吸照護-居家照護,20190715,29101231
臺北市立關渡醫院-委託臺北榮民總醫院經營附設居家護理,臺北市北投區知行路２２５巷１２號,(02)28587103,呼吸照護-居家照護,20190114,29101231
衛生福利部桃園醫院附設居家護理所,桃園市桃園區中山路1492號,(03)3699721,呼吸照護-居家照護,20050419,29101231
國立陽明交通大學附設醫院居家護理所,宜蘭縣宜蘭市新民路１５２號,(03)9325192,呼吸照護-居家照護,20130830,29101231
衛生福利部苗栗醫院附設居家護理所,苗栗縣苗栗市嘉盛里為公路７４７號,(037)261920,呼吸照護-居家照護,20050314,29101231
高雄榮民總醫院臺南分院附設居家護理所,臺南市永康區復興里復興路４２７號,(06)3125101,呼吸照護-居家照護,20050501,29101231
三軍總醫院澎湖分院附設民眾診療服務處居家護理所,澎湖縣馬公市前寮里９０號,(06)9215908,呼吸照護-居家照護,20130827,29101231
衛生福利部花蓮醫院(附設居家護理所),花蓮縣花蓮市中正路６００號,(03)8358141,呼吸照護-居家照護,20060320,29101231
國軍花蓮總醫院附設民眾診療服務處(附設居家護理所),花蓮縣新城鄉嘉里村嘉里路１６３號,(03)8263151,呼吸照護-居家照護,20190601,29101231
衛生福利部金門醫院居家護理所,金門縣金湖鎮復興路２號,(082)332546,呼吸照護-居家照護,20150203,29101231
宏仁醫院附設居家護理所,新北市三重區重新路４段１０１之１０號１樓,(02)29788877,呼吸照護-居家照護,20070822,29101231
大安醫院附設居家護理所,新竹縣竹北市博愛街３１８巷６號,(03)5557188,呼吸照護-居家照護,20041026,29101231
新仁居家護理所,新竹縣竹北市博愛街三三一號,(03)5552611,呼吸照護-居家照護,20041201,29101231
重光醫院附設居家護理所,苗栗縣頭份市中華路1039號,(037)591421,呼吸照護-居家照護,20070509,29101231
康寧醫療財團法人附設康寧居家護理所,臺北市內湖區成功路５段４２０巷２６號Ｂ１,(02)26345500,呼吸照護-居家照護,20200727,29101231
天主教中華聖母修女會醫療財團法人附設天主教聖馬爾定居家護理所,嘉義市東區芳安路１０３號,(05)2289916,呼吸照護-居家照護,20110101,29101231
天主教仁慈醫療財團法人附設新竹仁慈居家護理所,新竹縣湖口鄉忠孝路２９號,(03)5993500,呼吸照護-居家照護,20030401,29101231
佛教慈濟醫療財團法人附設大林慈濟居家護理所,嘉義縣大林鎮民生路２號,(05)2648000,呼吸照護-居家照護,20030129,29101231
奇美醫療財團法人附設柳營奇美居家護理所,臺南市柳營區太康里２０１號２樓(宿舍大樓),(06)6226999,呼吸照護-居家照護,20080502,29101231
奇美醫療財團法人附設永康奇美居家護理所,臺南市永康區甲頂里中正南路５２巷６８弄２９號１－２樓,(06)2812811,呼吸照護-居家照護,20000701,29101231
佛教慈濟醫療財團法人附設花蓮慈濟居家護理所,花蓮縣花蓮市中山路一段３巷１１號,(03)8561825,呼吸照護-居家照護,20050616,29101231
臺灣基督教門諾會醫療財團法人附設門諾居家護理所,花蓮縣花蓮市民權路４４號,(03)8241181,呼吸照護-居家照護,20041216,29101231
東基醫療財團法人附設居家護理所,臺東縣臺東市新生里開封街３５０號,(089)960888,呼吸照護-居家照護,20101115,29101231
佛教慈濟醫療財團法人附設關山慈濟居家護理所,臺東縣關山鎮和平路１２５－５號,(089)814880,呼吸照護-居家照護,20070101,29101231
李綜合醫療社團法人附設苑裡居家護理所,苗栗縣苑裡鎮和平路１６８號,(037)862387,呼吸照護-居家照護,20091117,29101231
