醫事機構代碼,醫事機構名稱,主責機構註記,醫事機構地址,醫事機構電話,生效起日,生效迄日,整合團隊代碼,整合團隊名稱
0601160016,臺北榮民總醫院,V,臺北市北投區石牌路２段２０１號,(02)28712121,20170314,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
0602030026,高雄榮民總醫院,V,高雄市左營區大中一路３８６號,(07)3422121,20170215,29101231,HM02030002,高雄榮民總醫院居家醫療照護團隊
0617060018,臺中榮民總醫院,,臺中市西屯區臺灣大道４段１６５０號,(04)23592525,20201028,29101231,HM36010004,豐之采
0617060018,臺中榮民總醫院,,臺中市西屯區臺灣大道４段１６５０號,(04)23592525,20171227,29101231,HM17040001,健康
0617060018,臺中榮民總醫院,,臺中市西屯區臺灣大道４段１６５０號,(04)23592525,20171108,29101231,HM17030003,晏居
0617060018,臺中榮民總醫院,V,臺中市西屯區臺灣大道４段１６５０號,(04)23592525,20170401,29101231,HM17060002,臺中榮民總醫院
0622020017,臺中榮民總醫院嘉義分院,V,嘉義市西區劉厝里世賢路２段６００號,(05)2359630,20160422,29101231,HM22020002,中榮嘉義分院
0632010014,臺北榮民總醫院桃園分院,V,桃園市桃園區成功路三段１００號,(03)3384889,20160602,29101231,HM32010002,台北榮民總醫院桃園分院居家醫療照護團隊
0633030010,臺北榮民總醫院新竹分院,V,新竹縣竹東鎮中豐路１段８１號,(03)5962134,20160401,29101231,HM33030002,台北榮民總醫院新竹分院團隊
0634030014,臺北榮民總醫院蘇澳分院,V,宜蘭縣蘇澳鎮蘇濱路１段３０１號、中山路１段４３９號,(03)9905106,20160512,29101231,HM34030001,臺北榮民總醫院蘇澳分院團隊
0634070018,臺北榮民總醫院員山分院,V,宜蘭縣員山鄉榮光路３８６號、宜蘭縣宜蘭市林森路１號,(03)9222141,20160512,29101231,HM34070001,臺北榮民總醫院員山分院團隊
0638020014,臺中榮民總醫院埔里分院,V,南投縣埔里鎮蜈蚣里榮光路１號,(049)2990833,20170202,29101231,HM38020001,臺中榮民總醫院埔里分院
0638020014,臺中榮民總醫院埔里分院,,南投縣埔里鎮蜈蚣里榮光路１號,(049)2990833,20241101,29101231,HM03190002,長安醫院居家醫療照護團隊
0640140012,臺中榮民總醫院灣橋分院,V,嘉義縣竹崎鄉灣橋村石麻園３８號,(05)2791072,20170322,29101231,HM40140001,中榮灣橋分院
0641310018,高雄榮民總醫院臺南分院,V,臺南市永康區復興里復興路４２７號,(06)3125101,20170214,29101231,HM41310001,高榮台南分院全人居家照護團隊
0643010011,屏東榮民總醫院,,屏東縣屏東市崇武里榮總東路１號,(08)7557885,20230719,29101231,HM43130001,屏東龍泉居家醫療照護整合團隊
0643130018,屏東榮民總醫院龍泉分院,,屏東縣內埔鄉龍潭村昭勝路安平一巷１號,(08)7704115,20180130,29101231,HM43010002,屏東基督教醫院
0643130018,屏東榮民總醫院龍泉分院,V,屏東縣內埔鄉龍潭村昭勝路安平一巷１號,(08)7704115,20160801,29101231,HM43130001,屏東龍泉居家醫療照護整合團隊
0645020015,臺北榮民總醫院鳳林分院,,花蓮縣鳳林鎮鳳信里中正路１段２號,(03)8764539,20170418,29101231,HM45010002,原鄉醫療照護團隊
0645020015,臺北榮民總醫院鳳林分院,,花蓮縣鳳林鎮鳳信里中正路１段２號,(03)8764539,20161227,29101231,HM45030001,玉榮居家醫療團隊
0645030011,臺北榮民總醫院玉里分院,V,花蓮縣玉里鎮泰昌里新興街９１號,(03)8883141,20160408,29101231,HM45030001,玉榮居家醫療團隊
0646010013,臺北榮民總醫院臺東分院,,臺東縣臺東市南榮里更生路１０００號,(089)222995,20161227,29101231,HM45030001,玉榮居家醫療團隊
0646010013,臺北榮民總醫院臺東分院,,臺東縣臺東市南榮里更生路１０００號,(089)222995,20180607,29101231,HM46010004,普悠瑪居家整合照護團隊
0701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,V,臺北市北投區知行路２２５巷１２號,(02)28587000,20160407,29101231,HM01160001,臺北市立關渡醫院-委託臺北榮民總醫院經營
0807350018,高雄市立中醫醫院,,高雄市苓雅區凱旋二路１３２號,(07)7133186,20210401,29101231,HM02070002,高聯醫
0807350018,高雄市立中醫醫院,,高雄市苓雅區凱旋二路１３２號,(07)7133186,20210329,29101231,HM02030002,高雄榮民總醫院居家醫療照護團隊
0807350018,高雄市立中醫醫院,,高雄市苓雅區凱旋二路１３２號,(07)7133186,20210330,29101231,HM02080003,高雄民生醫院
0807350018,高雄市立中醫醫院,,高雄市苓雅區凱旋二路１３２號,(07)7133186,20210331,29101231,HM02110001,小港居家照護中心
0807350018,高雄市立中醫醫院,,高雄市苓雅區凱旋二路１３２號,(07)7133186,20221104,29101231,HM02080002,阮綜合社區居家醫療群
0807350018,高雄市立中醫醫院,,高雄市苓雅區凱旋二路１３２號,(07)7133186,20210412,29101231,HM42120001,義大醫院居家醫療整合照護團隊
0807350018,高雄市立中醫醫院,,高雄市苓雅區凱旋二路１３２號,(07)7133186,20211022,29101231,HM02050001,高醫社區照護中心
0807350018,高雄市立中醫醫院,,高雄市苓雅區凱旋二路１３２號,(07)7133186,20221104,29101231,HM02080001,國高總
0807350018,高雄市立中醫醫院,,高雄市苓雅區凱旋二路１３２號,(07)7133186,20210329,29101231,HM07350001,聖功
0902080013,阮綜合醫療社團法人阮綜合醫院,V,高雄市苓雅區成功一路１６２號，１５６號,(07)3351121,20161229,29101231,HM02080002,阮綜合社區居家醫療群
0903150014,林新醫療社團法人烏日林新醫院,,臺中市烏日區榮和路１６８號,(04)23388766,20170622,29101231,HM17030002,西區
0903150014,林新醫療社團法人烏日林新醫院,,臺中市烏日區榮和路１６８號,(04)23388766,20170516,29101231,HM17040001,健康
0903150014,林新醫療社團法人烏日林新醫院,,臺中市烏日區榮和路１６８號,(04)23388766,20180109,29101231,HM03230001,580
0903150014,林新醫療社團法人烏日林新醫院,,臺中市烏日區榮和路１６８號,(04)23388766,20170622,29101231,HM17080001,自家安老居家整合照護團隊
0905320023,台南市立醫院(委託秀傳醫療社團法人經營),V,臺南市東區崇德路６７０號,(06)2609926,20170801,29101231,HM21010001,台南市立醫院
0905320023,台南市立醫院(委託秀傳醫療社團法人經營),,臺南市東區崇德路６７０號,(06)2609926,20250728,29101231,HM41310002,奇美醫院居家醫療照護整合計畫團隊
0917070029,林新醫療社團法人林新醫院,,臺中市南屯區惠中路３段３６號,(04)22586688,20250310,29101231,HM17040005,仕安居家醫療團隊
0917070029,林新醫療社團法人林新醫院,,臺中市南屯區惠中路３段３６號,(04)22586688,20170516,29101231,HM17040001,健康
0917070029,林新醫療社團法人林新醫院,,臺中市南屯區惠中路３段３６號,(04)22586688,20170622,29101231,HM17030002,西區
0917070029,林新醫療社團法人林新醫院,,臺中市南屯區惠中路３段３６號,(04)22586688,20180109,29101231,HM03230001,580
0917070029,林新醫療社團法人林新醫院,,臺中市南屯區惠中路３段３６號,(04)22586688,20170622,29101231,HM17080001,自家安老居家整合照護團隊
0922020013,仁德醫療社團法人陳仁德醫院,V,嘉義市西區林森西路２８５號,(05)2258279,20171101,29101231,HM22020003,嘉德居家醫療照護團隊
0922020022,慶昇醫療社團法人慶昇醫院,,嘉義市西區新榮路３３３、３３９、３３９－１號,(05)2229191,20200806,29101231,HM22010002,嘉基居家醫療照護整合計畫團隊
0922020040,安心醫療社團法人安心醫院,,嘉義市西區新民路８８號,(05)52353100,20250601,29101231,HM22010002,嘉基居家醫療照護整合計畫團隊
0922020059,亞人醫療社團法人盧亞人醫院,,嘉義市西區民權路４０６號,(05)2248347,20250701,29101231,HM22010002,嘉基居家醫療照護整合計畫團隊
0931060016,新仁醫療社團法人新仁醫院,,新北市新莊區中正路３９５號、福海街２４巷１號,(02)22017212,20180214,29101231,HM31020002,宏仁醫院照護團隊
0932020025,天成醫療社團法人天晟醫院,V,桃園市中壢區延平路155號,(03)4629292,20160517,29101231,HM32020001,天晟醫院
0933050018,東元醫療社團法人東元綜合醫院,,新竹縣竹北市縣政二路６９號,(03)5527000,20190101,29101231,HM33030001,馨愛
0933050018,東元醫療社團法人東元綜合醫院,,新竹縣竹北市縣政二路６９號,(03)5527000,20190101,29101231,HM12040001,馨友
0933050018,東元醫療社團法人東元綜合醫院,,新竹縣竹北市縣政二路６９號,(03)5527000,20190101,29101231,HM33050001,東元綜合醫院附設居家護理所
0933050036,竹北新仁醫療社團法人新仁醫院,V,新竹縣竹北市博愛街３３１號,(03)5552039,20240701,29101231,HM33050002,新仁居家
0935010012,梓榮醫療社團法人弘大醫院,V,苗栗縣苗栗市新東街１２５號,(037)361188,20180828,29101231,HM35010005,弘大居家醫療整照
0935020027,李綜合醫療社團法人苑裡李綜合醫院,V,苗栗縣苑裡鎮和平路１６８號、苗栗縣苑裡鎮中華路１３７號,(037)862387,20170316,29101231,HM35020001,苑裡李綜合醫院
0936030018,李綜合醫療社團法人大甲李綜合醫院,V,臺中市大甲區八德街２號,(04)26862288,20170710,29101231,HM36030001,大甲李綜合
0936050029,光田醫療社團法人光田綜合醫院,V,臺中市沙鹿區沙田路１１７號、向上路七段１２７號及１２５號,(04)26625111,20170424,29101231,HM36050001,光田醫院
0936050029,光田醫療社團法人光田綜合醫院,,臺中市沙鹿區沙田路１１７號、向上路七段１２７號及１２５號,(04)26625111,20211118,29101231,HM17060001,澄清綜合醫院中港分院
0936060016,童綜合醫療社團法人童綜合醫院,V,臺中市梧棲區臺灣大道八段６９９號,(04)26581919,20170629,29101231,HM36060001,童一家
0936060016,童綜合醫療社團法人童綜合醫院,,臺中市梧棲區臺灣大道八段６９９號,(04)26581919,20170508,29101231,HM36120001,坪安
0936060016,童綜合醫療社團法人童綜合醫院,,臺中市梧棲區臺灣大道八段６９９號,(04)26581919,20250211,29101231,HM03190002,長安醫院居家醫療照護團隊
0937010019,秀傳醫療社團法人秀傳紀念醫院,,彰化縣彰化市南瑤里中山路１段５４２號,(04)7256166,20170830,29101231,HM37020001,彰濱秀傳
0937030012,道周醫療社團法人道周醫院,,彰化縣和美鎮和光路１８０號、和善路１１８號,(04)7566995,20180328,29101231,HM37010004,彰聯居家醫療整合照護團隊
0937050014,員榮醫療社團法人員榮醫院,,彰化縣員林市中正路２０１號、彰化縣員林市莒光路３５９號,(04)8326161,20250818,29101231,HM03190002,長安醫院居家醫療照護團隊
0937050014,員榮醫療社團法人員榮醫院,,彰化縣員林市中正路２０１號、彰化縣員林市莒光路３５９號,(04)8326161,20171127,29101231,HM37050002,員滿
0937050014,員榮醫療社團法人員榮醫院,,彰化縣員林市中正路２０１號、彰化縣員林市莒光路３５９號,(04)8326161,20230816,29101231,HM37170001,衛生福利部彰化醫院
0937050014,員榮醫療社團法人員榮醫院,,彰化縣員林市中正路２０１號、彰化縣員林市莒光路３５９號,(04)8326161,20220127,29101231,HM37010004,彰聯居家醫療整合照護團隊
0937050024,惠來醫療社團法人宏仁醫院,V,彰化縣員林市惠來街８９號、９１號,(04)8375878,20190620,29101231,HM37050004,宏仁有愛
0937050032,員郭醫療社團法人員郭醫院,V,彰化縣員林市南興里員林大道６段５１號,(04)8312889,20240423,29101231,HM37050005,員自宅
0937050032,員郭醫療社團法人員郭醫院,,彰化縣員林市南興里員林大道６段５１號,(04)8312889,20231101,29101231,HM37020001,彰濱秀傳
0938030016,佑民醫療社團法人佑民醫院,,南投縣草屯鎮太平路一段２００號,(049)2358151,20170809,29101231,HM37010004,彰聯居家醫療整合照護團隊
0938030016,佑民醫療社團法人佑民醫院,,南投縣草屯鎮太平路一段２００號,(049)2358151,20210915,29101231,HM17060002,臺中榮民總醫院
0938030016,佑民醫療社團法人佑民醫院,,南投縣草屯鎮太平路一段２００號,(049)2358151,20210819,29101231,HM17040002,中山
0938040012,竹山秀傳醫療社團法人竹山秀傳醫院,V,南投縣竹山鎮集山路２段７５號,(049)2624266,20211201,29101231,HM38040002,竹山秀傳醫院
0941010019,新興醫療社團法人新興醫院,,臺南市新營區中興路１０號,(06)6330011,20180928,29101231,HM21040001,成大醫院居家醫療整合照護團隊
0942020019,高雄市立岡山醫院（委託秀傳醫療社團法人經營）,V,高雄市岡山區壽天路１２號,(07)6222131,20170308,29101231,HM42020001,岡秀居家醫療照護組
0943010017,寶建醫療社團法人寶建醫院,V,屏東縣屏東市中山路１１９.１２３號.,(08)7665995,20170126,29101231,HM43010004,寶建社區醫療團隊
0943020013,安泰醫療社團法人潮州安泰醫院,,屏東縣潮州鎮三星里四維路１６２及１９３號,(08)7800888,20170802,29101231,HM43030001,安泰醫院
0943030019,安泰醫療社團法人安泰醫院,V,屏東縣東港鎮興東里中正路一段２１０號,(08)8329966,20160829,29101231,HM43030001,安泰醫院
0943040015,南門醫療社團法人南門醫院,,屏東縣恆春鎮南門路１０號,(08)8894568,20210824,29101231,HM43010002,屏東基督教醫院
0943040015,南門醫療社團法人南門醫院,,屏東縣恆春鎮南門路１０號,(08)8894568,20160406,29101231,HM43040001,恆春半島居家醫療整合照護團隊
0943160012,枋寮醫療社團法人枋寮醫院,,屏東縣枋寮鄉安樂村中山路１３９號,(08)8789991,20171207,29101231,HM43010002,屏東基督教醫院
1101010012,長庚醫療財團法人台北長庚紀念醫院,,臺北市松山區敦化北路１９９、１９７號、１９９巷６號、民生東路,(02)27135211,20180214,29101231,HM32070001,林口、桃園長庚紀念醫院居家照護團隊
1101010012,長庚醫療財團法人台北長庚紀念醫院,,臺北市松山區敦化北路１９９、１９７號、１９９巷６號、民生東路,(02)27135211,20180719,29101231,HM32070002,馨安居家醫療團隊
1101010021,基督復臨安息日會醫療財團法人臺安醫院,V,臺北市松山區八德路２段４２４、４２６號,(02)27718151,20180515,29101231,HM01010001,臺安居家醫療照護整合團隊
1101020018,國泰醫療財團法人國泰綜合醫院,V,臺北市大安區仁愛路４段２８０號，２６６巷６號,(02)27082121,20190328,29101231,HM01020001,國泰綜合醫院居家醫療照護團隊
1101100011,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,V,臺北市中山區中山北路２段９２號,(02)25433535,20180202,29101231,HM01100002,馬偕好厝邊居家醫療照護團隊
1101150011,新光醫療財團法人新光吳火獅紀念醫院,,臺北市士林區文昌路９５號及士商路５１號１至７樓５３、５５號,(02)28332211,20220401,29101231,HM31030002,安康喜樂居家醫療照護團隊
1101150011,新光醫療財團法人新光吳火獅紀念醫院,V,臺北市士林區文昌路９５號及士商路５１號１至７樓５３、５５號,(02)28332211,20190901,29101231,HM01150001,新光醫院居家醫療照護團隊
1102110011,高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）,V,高雄市小港區山明里山明路４８２號Ｂ１－１０樓,(07)8036783,20160616,29101231,HM02110001,小港居家照護中心
1103280012,醫療財團法人正德癌症醫療基金會佛教正德醫院,,臺中市南屯區文心南五路三段１００號,(04)37026588,20210208,29101231,HM38010001,衛生福利部南投醫院
1105040016,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,V,臺南市麻豆區麻佳路一段２０７號,(06)5702228,20170925,29101231,HM05040001,麻豆新樓愛到家居家醫療照護團隊
1105050012,奇美醫療財團法人佳里奇美醫院,V,臺南市佳里區佳興里佳里興６０６號,(06)7263333,20170808,29101231,HM05050001,佳里奇美居家醫療整合團隊
1107120017,義大醫療財團法人義大癌治療醫院,,高雄市燕巢區角宿里義大路２１號Ｂ２－１０樓,(07)6150022,20170222,29101231,HM42120001,義大醫院居家醫療整合照護團隊
1107120017,義大醫療財團法人義大癌治療醫院,,高雄市燕巢區角宿里義大路２１號Ｂ２－１０樓,(07)6150022,20250304,29101231,HM02030001,國軍左營醫院
1107320017,義大醫療財團法人義大大昌醫院,,高雄市三民區大昌一路３０５號地下３樓至地上１０樓,(07)5599123,20170222,29101231,HM42120001,義大醫院居家醫療整合照護團隊
1107350015,天主教聖功醫療財團法人聖功醫院,V,高雄市苓雅區建國一路３５２號,(07)2238153,20160518,29101231,HM07350001,聖功
1111060015,長庚醫療財團法人基隆長庚紀念醫院,V,基隆市安樂區麥金路２２２號、基隆市麥金路２０１號,(02)24313131,20170206,29101231,HM11060001,基隆長庚紀念醫院居家照護團隊
1112010519,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,V,新竹市東區光復路二段６９０號,(03)6119595,20160923,29101231,HM12010002,靈芝(聆知)qpacing
1112010528,國泰醫療財團法人新竹國泰綜合醫院,V,新竹市東區福德里中華路二段678號及678號之1,(03)5278999,20160307,29101231,HM12010001,國泰新竹
1117010019,仁愛醫療財團法人台中仁愛醫院,,臺中市中區柳岸里柳川東路三段３６號,(04)22255450,20170314,29101231,HM36200001,大里仁愛
1121010018,台灣基督長老教會新樓醫療財團法人台南新樓醫院,V,臺南市東區泉北里東門路１段５７號,(06)2748316,20170911,29101231,HM21010002,台南新樓醫院居家醫療照護團隊
1122010012,戴德森醫療財團法人嘉義基督教醫院,V,嘉義市東區中庄里忠孝路５３９號、６４２號、保健街１００號,(05)2765041,20160420,29101231,HM22010002,嘉基居家醫療照護整合計畫團隊
1122010012,戴德森醫療財團法人嘉義基督教醫院,,嘉義市東區中庄里忠孝路５３９號、６４２號、保健街１００號,(05)2765041,20220830,29101231,HM40130001,快樂活居家醫療照護團隊
1122010021,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,,嘉義市東區大雅路二段５６５號,(05)2756000,20220830,29101231,HM40130001,快樂活居家醫療照護團隊
1122010021,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,V,嘉義市東區大雅路二段５６５號,(05)2756000,20160420,29101231,HM22010001,天主教聖馬爾定醫院居家醫療整合照護團隊
1131010011,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,V,新北市板橋區南雅南路２段２１號及高爾富路３００號,(02)89667000,20180124,29101231,HM31010001,亞東居醫團隊
1131050515,佛教慈濟醫療財團法人台北慈濟醫院,,新北市新店區建國路２８９號,(02)66289779,20200415,29101231,HM31240001,新北市平溪區衛生所照護團隊
1131050515,佛教慈濟醫療財團法人台北慈濟醫院,V,新北市新店區建國路２８９號,(02)66289779,20170824,29101231,HM31050001,台北慈院居家醫療照護整合團隊
1131090019,行天宮醫療志業醫療財團法人恩主公醫院,,新北市三峽區復興路３９９號、中山路１９８、２５８號,(02)26723456,20240124,29101231,HM31030002,安康喜樂居家醫療照護團隊
1131090019,行天宮醫療志業醫療財團法人恩主公醫院,V,新北市三峽區復興路３９９號、中山路１９８、２５８號,(02)26723456,20190722,29101231,HM31090001,恩主公居家醫療照護團隊
